R,S,T,I_R,I_S,I_T,Kondisi
238.1,243.01,238.17,0.91,1.32,1.25,1
231.03,231.08,231.52,1.19,1.19,1.19,0
230.1,230.47,229.87,1.07,1.1,1.11,0
243.13,243.92,243.41,1.12,1.09,1.11,0
234.32,233.89,233.91,1.06,1.06,1.05,0
239.92,239.92,240.1,1.13,1.14,1.12,0
243.77,232.05,236.71,1.03,0.95,1.05,1
235.17,235.55,235.71,1.01,1.02,1.02,0
242.19,231.8,240.98,0.92,0.85,1.39,1
234.36,234.34,233.67,1.1,1.1,1.08,0
234.17,237.71,239.31,1.26,0.84,1.26,1
231.94,234.79,233.6,1.37,1.21,0.86,1
232.46,243.25,240.06,0.86,1.2,1.02,1
234.63,241.63,231.37,1.01,0.82,1.05,1
237.14,232.35,239.97,1.08,1.11,1.27,1
232.07,239.4,230.21,1.04,1.37,0.99,1
242.44,243.24,243.02,1.02,1.04,1.02,0
239.21,240.03,239.83,1.15,1.18,1.18,0
230.49,230.84,230.64,1.16,1.16,1.14,0
243.51,230.03,239.12,1.23,0.88,1.1,1
238.01,238.92,238.81,1.04,1.06,1.04,0
233.99,242.43,238.64,1.16,1.22,1.15,1
232.54,230.64,230.1,0.84,1.44,0.8,1
243.38,242.98,242.9,1.0,1.01,1.02,0
238.41,233.47,232.54,0.83,0.9,1.48,1
241.63,238.29,230.24,1.5,1.26,0.94,1
231.73,233.52,230.84,0.86,0.89,1.35,1
237.96,231.67,237.26,1.18,0.9,1.22,1
236.79,241.29,239.75,1.41,0.95,1.13,1
244.38,232.75,232.81,1.48,0.98,0.85,1
239.13,239.05,239.2,1.16,1.17,1.17,0
242.49,241.92,241.91,1.21,1.18,1.18,0
235.55,244.4,242.74,1.48,0.9,1.32,1
236.48,239.74,230.02,1.0,1.11,1.42,1
234.24,234.65,234.32,1.15,1.14,1.14,0
242.42,232.28,237.38,1.28,1.48,1.16,1
241.43,235.27,241.97,1.23,0.9,0.8,1
239.42,230.08,236.27,0.97,1.34,1.09,1
239.6,240.13,240.33,1.17,1.15,1.18,0
233.53,233.42,233.41,1.08,1.08,1.09,0
235.1,235.68,235.01,1.06,1.08,1.09,0
233.9,234.47,234.12,1.17,1.17,1.18,0
241.59,241.15,241.33,1.14,1.1,1.11,0
234.75,234.26,234.51,1.2,1.19,1.2,0
237.45,237.78,238.06,1.2,1.18,1.18,0
241.36,241.68,241.18,1.07,1.06,1.06,0
237.17,237.83,237.74,1.16,1.18,1.17,0
243.69,237.88,231.91,0.96,1.49,0.82,1
237.27,236.93,236.88,1.07,1.08,1.08,0
233.49,242.14,231.68,0.92,1.2,1.24,1
236.59,232.06,243.79,1.04,0.9,1.25,1
241.12,241.42,240.75,1.15,1.16,1.18,0
233.35,232.02,241.77,1.33,1.29,1.38,1
243.03,239.86,243.85,1.12,1.15,1.42,1
240.55,240.39,240.94,1.09,1.08,1.06,0
232.81,233.49,232.97,1.05,1.06,1.05,0
236.17,235.99,236.07,1.12,1.14,1.12,0
236.82,237.7,236.05,0.86,1.32,1.35,1
243.17,242.41,244.63,0.91,1.04,0.91,1
